Title,Link
1-변액보험시험 핵심요약 강의 1편 1번~15번 완벽대비[캡쳐허용],https://www.youtube.com/watch?v=dBNBi14AM2M
2-변액보험시험 핵심요약 강의 16번~20번 완벽대비[캡쳐가능],https://www.youtube.com/watch?v=97R8P_0pBb0
3-변액보험시험 핵심요약 강의 3편 완벽정리 21번~33번[캡쳐허용],https://www.youtube.com/watch?v=ZOss5EilCls
4-변액보험시험 핵심요약 강의 34번~40번 완벽대비[캡쳐가능],https://www.youtube.com/watch?v=Q96W_ZAWfho
5-[시험전날 필수시청]80분 시간순삭 변액보험 전체범위 '총정리' [캡쳐허용],https://www.youtube.com/watch?v=fCwFqVQ79wU
6-변액보험시험 핵심요약강의[시험직전 최종점검 O,X문제] 스피드변액 *캡쳐허용,https://www.youtube.com/watch?v=ioypK2zpJjc
7-[시험장에서 다들 이것만봐!] 딱20분만에 변액보험 20점 끌올특강 *캡쳐허용,https://www.youtube.com/watch?v=-ILb_ffIDac
8-[시험전날 필수시청]벼락치기 변액보험 시험 총정리 *노하우 대방출*,https://www.youtube.com/watch?v=oIKRlGmuVBw
최신 변액보험 20분 핵심요약3장변액보험의 이해,https://www.youtube.com/watch?v=GCilcSCMT5w
[수정] 멤버십 활용법*강의자료 받는 방법*,https://www.youtube.com/watch?v=aPs8XVoi1NI
